ActionPerformed,ConnectionClassification,Priority,Date-Time,SourceIP,SourcePort,DestinationIP,DestinationPort,TimeToLive,TypeOfService,DataGramLength,AllFlags,Seq,Ack,Win,TCP_length,TCP_Options,NOP_NOP_TS,MSS,NOP_WS
 Data sent on stream not accepting data  ,0,3,1573236007,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106319773853,0,0
 Data sent on stream not accepting data  ,0,3,1573236011,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106323873853,0,0
 Data sent on stream not accepting data  ,0,3,1573236015,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106327873853,0,0
 Data sent on stream not accepting data  ,0,3,1573236019,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106331873853,0,0
 Data sent on stream not accepting data  ,0,3,1573236027,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106339973853,0,0
 Data sent on stream not accepting data  ,0,3,1573236043,10.1.10.10,25,7.204.241.161,51451,125,0x0 ,116,***AP**F ,0x2E79010 ,0xB159B010 ,0xFFFF ,32.0,3.0,1106355973853,0,0
 Data sent on stream not accepting data  ,0,3,1573236199,7.204.241.161,993,31.154.241.2,1340,63,0x0 ,77,***AP*** ,0x604F07C0 ,0xC1151E08 ,0xFFFF ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,60,******S* ,0x752E046 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,60,***A**S* ,0x9BDAA008 ,0x752E047 ,0x16A0 ,40.0,5.0,0,1460,6
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,52,***A**** ,0x752E047 ,0x9BDAA009 ,0x2086 ,32.0,3.0,4830251767642371,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,188,***AP*** ,0x752E047 ,0x9BDAA009 ,0x2086 ,32.0,3.0,4830252067642371,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,52,***A**** ,0x9BDAA009 ,0x752E0CF ,0x6C ,32.0,3.0,6764237648302520,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,149,***AP*** ,0x9BDAA5B1 ,0x752E0CF ,0x6C ,32.0,3.0,6764238048302520,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,52,***A**** ,0x752E0CF ,0x9BDAA612 ,0x2052 ,32.0,3.0,4830253467642380,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,250,***AP*** ,0x752E0CF ,0x9BDAA612 ,0x2086 ,32.0,3.0,4830254267642380,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,111,***AP*** ,0x9BDAA612 ,0x752E195 ,0x7C ,32.0,3.0,6764240948302542,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,238,***AP*** ,0x752E195 ,0x9BDAA64D ,0x2086 ,32.0,3.0,4830255767642409,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,1373,***AP*** ,0x9BDAA64D ,0x752E24F ,0x8D ,32.0,3.0,6764241648302557,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,89,***AP*** ,0x9BDAAB76 ,0x752E24F ,0x8D ,32.0,3.0,6764241748302557,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,52,***A***F ,0x9BDAAB9B ,0x752E24F ,0x8D ,32.0,3.0,6764241748302557,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,52,***A**** ,0x752E24F ,0x9BDAAB9B ,0x2081 ,32.0,3.0,4830256667642416,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,52,***A**** ,0x752E24F ,0x9BDAAB9C ,0x2086 ,32.0,3.0,4830256667642417,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x752E24F ,0x9BDAAB9C ,0x2086 ,32.0,3.0,4830256667642417,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,63,0x0 ,52,***A***F ,0x752E274 ,0x9BDAAB9C ,0x2086 ,32.0,3.0,4830256667642417,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,64,0x0 ,52,***A**** ,0x9BDAAB9C ,0x752E275 ,0x8D ,32.0,3.0,6764242148302566,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236596,10.1.60.203,55652,154.241.88.201,443,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573236599,10.1.60.203,55652,154.241.88.201,443,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573236602,10.1.60.203,55652,154.241.88.201,443,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573236606,10.1.60.203,55652,154.241.88.201,443,63,0x0 ,48,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,28.0,3.0,0,1460,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236904,10.1.60.203,51742,7.204.241.161,25,63,0x0 ,40,*****R** ,0x61A885C3 ,0x0 ,0x0 ,20.0,0.0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237069,7.204.241.161,993,31.154.241.1,1309,63,0x0 ,77,***AP*** ,0x7BF6A41A ,0xA4471B1E ,0xFFFF ,20.0,0.0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237129,3.75.190.181,50523,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x6635AD9B ,0xB910AC61 ,0x2086 ,32.0,3.0,7622367947594,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,60,******S* ,0x2467C5D3 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,60,***A**S* ,0xBD5FD78A ,0x2467C5D4 ,0x16A0 ,40.0,5.0,0,1460,6
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,52,***A**** ,0x2467C5D4 ,0xBD5FD78B ,0x2086 ,32.0,3.0,4920105867952272,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,188,***AP*** ,0x2467C5D4 ,0xBD5FD78B ,0x2086 ,32.0,3.0,4920106067952272,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,52,***A**** ,0xBD5FD78B ,0x2467C65C ,0x6C ,32.0,3.0,6795227749201060,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,149,***AP*** ,0xBD5FDD33 ,0x2467C65C ,0x6C ,32.0,3.0,6795228649201060,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,52,***A**** ,0x2467C65C ,0xBD5FDD94 ,0x2052 ,32.0,3.0,4920107567952286,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,250,***AP*** ,0x2467C65C ,0xBD5FDD94 ,0x2086 ,32.0,3.0,4920108367952286,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,111,***AP*** ,0xBD5FDD94 ,0x2467C722 ,0x7C ,32.0,3.0,6795231349201083,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,238,***AP*** ,0x2467C722 ,0xBD5FDDCF ,0x2086 ,32.0,3.0,4920109967952313,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,1373,***AP*** ,0xBD5FDDCF ,0x2467C7DC ,0x8D ,32.0,3.0,6795231949201099,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,89,***AP*** ,0xBD5FE2F8 ,0x2467C7DC ,0x8D ,32.0,3.0,6795232049201099,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,52,***A***F ,0xBD5FE31D ,0x2467C7DC ,0x8D ,32.0,3.0,6795232049201099,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,52,***A**** ,0x2467C7DC ,0xBD5FE31D ,0x2081 ,32.0,3.0,4920110867952319,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,52,***A**** ,0x2467C7DC ,0xBD5FE31E ,0x2086 ,32.0,3.0,4920110867952320,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x2467C7DC ,0xBD5FE31E ,0x2086 ,32.0,3.0,4920110867952320,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,63,0x0 ,52,***A***F ,0x2467C801 ,0xBD5FE31E ,0x2086 ,32.0,3.0,4920110867952320,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,64,0x0 ,52,***A**** ,0xBD5FE31E ,0x2467C802 ,0x8D ,32.0,3.0,6795232449201108,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237188,154.241.88.201,80,3.75.190.181,49920,63,0x0 ,455,***AP*** ,0x16E25BA2 ,0xD923AC15 ,0x5B ,32.0,3.0,68006559135137,0,0
 Data sent on stream not accepting data  ,0,3,1573237188,3.75.190.181,55795,154.241.88.201,443,63,0x0 ,89,***AP*** ,0xC8625937 ,0x16E715E9 ,0x2086 ,32.0,3.0,13522468006638,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237248,154.241.88.201,80,3.75.190.181,58667,63,0x0 ,455,***AP*** ,0x4FD757FD ,0x7800AD08 ,0x5B ,32.0,3.0,68066918195356,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237307,3.75.190.181,57017,180.242.137.181,5222,63,0x0 ,52,***A**** ,0xC4A074AE ,0xB231536A ,0x2086 ,32.0,3.0,2550991612998711,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237307,154.241.88.201,80,3.75.190.181,49207,63,0x0 ,455,***AP*** ,0x8806FFA0 ,0xA50140 ,0x5B ,32.0,3.0,68126619255103,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237366,7.204.241.161,57669,10.1.10.10,25,64,0x0 ,40,*****R** ,0x6DA5A660 ,0x0 ,0x0 ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237367,154.241.88.201,80,3.75.190.181,51429,63,0x0 ,455,***AP*** ,0xC025FACE ,0x43859B17 ,0x5B ,32.0,3.0,68186591315027,0,0
 Data sent on stream not accepting data  ,0,3,1573237373,10.1.10.10,25,7.204.241.161,57669,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,1107691953700,0,0
 Data sent on stream not accepting data  ,0,3,1573237382,10.1.10.10,25,7.204.241.161,57669,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,1107700753700,0,0
 Data sent on stream not accepting data  ,0,3,1573237390,10.1.10.10,25,7.204.241.161,57669,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,1107709553700,0,0
 Data sent on stream not accepting data  ,0,3,1573237399,10.1.10.10,25,7.204.241.161,57669,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,1107718453700,0,0
 Data sent on stream not accepting data  ,0,3,1573237416,10.1.10.10,25,7.204.241.161,57669,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,1107736053700,0,0
 Data sent on stream not accepting data  ,0,3,1573237428,3.75.190.181,51875,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x2A34B839 ,0xF9761AE1 ,0x2086 ,32.0,3.0,37678768248395,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237487,3.75.190.181,59050,180.242.137.181,5222,63,0x0 ,69,***AP*** ,0x836C9A8F ,0x45419415 ,0x2086 ,32.0,3.0,4358543180832963,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237721,154.241.88.201,80,3.75.190.181,56000,63,0x0 ,455,***AP*** ,0xC9E48F9 ,0xAB076FB7 ,0x5B ,32.0,3.0,68542621670775,0,0
 Data sent on stream not accepting data  ,0,3,1573237723,154.241.88.201,443,31.154.241.11,1604,63,0x0 ,63,***AP*** ,0xEA8791D ,0x70687D0D ,0x1920 ,20.0,0.0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237726,154.241.88.201,443,31.154.241.11,1606,63,0x0 ,63,***AP*** ,0x10B2D237 ,0x97ACE1D ,0x16D0 ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237796,154.241.88.201,80,3.75.190.181,55945,63,0x0 ,455,***AP*** ,0x52A1C109 ,0x4714E081 ,0x5B ,32.0,3.0,68617598745693,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237860,154.241.88.201,80,3.75.190.181,52329,63,0x0 ,455,***AP*** ,0x8EE7B539 ,0x2725D81D ,0x5B ,32.0,3.0,68682637810681,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237860,7.204.241.161,25,3.75.190.181,58744,63,0x0 ,67,***AP*** ,0x51ABF212 ,0xC47F48C2 ,0x2086 ,32.0,3.0,2845347383810711,0,0
 Data sent on stream not accepting data  ,0,3,1573237987,7.204.241.161,993,222.100.5.233,3312,63,0x0 ,77,***AP*** ,0x3DC23746 ,0x9A55E039 ,0xFFFF ,20.0,0.0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237988,7.204.241.161,51135,10.1.10.10,25,64,0x0 ,40,*****R** ,0x2854EF44 ,0x0 ,0x0 ,20.0,0.0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237991,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083134116170,0,0
 Data sent on stream not accepting data  ,0,3,1573237995,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083178116170,0,0
 Data sent on stream not accepting data  ,0,3,1573238000,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083222116170,0,0
 Data sent on stream not accepting data  ,0,3,1573238004,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083266116170,0,0
 Data sent on stream not accepting data  ,0,3,1573238013,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083354116170,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,60,******S* ,0x8040D6E6 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,60,***A**S* ,0x2E18EF57 ,0x8040D6E7 ,0x16A0 ,40.0,5.0,0,1460,6
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8040D6E7 ,0x2E18EF58 ,0x2086 ,32.0,3.0,5009921168852062,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,188,***AP*** ,0x8040D6E7 ,0x2E18EF58 ,0x2086 ,32.0,3.0,5009921468852062,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,52,***A**** ,0x2E18EF58 ,0x8040D76F ,0x6C ,32.0,3.0,6885206650099214,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,149,***AP*** ,0x2E18F500 ,0x8040D76F ,0x6C ,32.0,3.0,6885206850099214,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8040D76F ,0x2E18F561 ,0x2052 ,32.0,3.0,5009922668852068,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,250,***AP*** ,0x8040D76F ,0x2E18F561 ,0x2086 ,32.0,3.0,5009923568852068,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,111,***AP*** ,0x2E18F561 ,0x8040D835 ,0x7C ,32.0,3.0,6885209850099235,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,238,***AP*** ,0x8040D835 ,0x2E18F59C ,0x2086 ,32.0,3.0,5009925068852098,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,1373,***AP*** ,0x2E18F59C ,0x8040D8EF ,0x8D ,32.0,3.0,6885210450099250,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,89,***AP*** ,0x2E18FAC5 ,0x8040D8EF ,0x8D ,32.0,3.0,6885210450099250,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,52,***A***F ,0x2E18FAEA ,0x8040D8EF ,0x8D ,32.0,3.0,6885210450099250,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8040D8EF ,0x2E18FAEA ,0x1FDC ,32.0,3.0,5009925768852104,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,52,***A**** ,0x8040D8EF ,0x2E18FAEB ,0x1FDC ,32.0,3.0,5009925768852104,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,89,***AP*** ,0x8040D8EF ,0x2E18FAEB ,0x2086 ,32.0,3.0,5009925768852104,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,63,0x0 ,52,***A***F ,0x8040D914 ,0x2E18FAEB ,0x2086 ,32.0,3.0,5009925868852104,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,64,0x0 ,52,***A**** ,0x2E18FAEB ,0x8040D915 ,0x8D ,32.0,3.0,6885211050099257,0,0
 Data sent on stream not accepting data  ,0,3,1573238030,10.1.10.10,25,7.204.241.161,51135,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083531116170,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238232,3.75.190.181,59012,180.242.137.181,5222,63,0x0 ,69,***AP*** ,0xEDDAADF2 ,0x35FFC09A ,0x2086 ,32.0,3.0,721190292030760111,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238233,154.241.88.201,80,3.75.190.181,60384,63,0x0 ,455,***AP*** ,0xEE139A9F ,0x374ED21D ,0x5B ,32.0,3.0,6905712272119272,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238395,10.2.195.248,36231,154.241.88.201,443,61,0x0 ,40,*****R** ,0xF62D0A22 ,0x0 ,0x0 ,20.0,0.0,0,0,0
