Action Performed,Connection Classification,Priority,Date-Time,Source IP,Source Port,Destination IP,Destination Port,Protocol,TimeToLive,TypeOfService,DataGram Length,All Flags,Seq, Ack, Win, TCP length, TCP Options, NOP NOP TS, MSS, NOP WS, SackOK TS
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,111,***AP*** ,0x9BDAA612 ,0x752E195 ,0x7C ,32.0,3.0,67642409 48302542 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,238,***AP*** ,0x752E195 ,0x9BDAA64D ,0x2086 ,32.0,3.0,48302557 67642409 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,1373,***AP*** ,0x9BDAA64D ,0x752E24F ,0x8D ,32.0,3.0,67642416 48302557 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,89,***AP*** ,0x9BDAAB76 ,0x752E24F ,0x8D ,32.0,3.0,67642417 48302557 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,52,***A***F ,0x9BDAAB9B ,0x752E24F ,0x8D ,32.0,3.0,67642417 48302557 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x752E24F ,0x9BDAAB9B ,0x2081 ,32.0,3.0,48302566 67642416 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x752E24F ,0x9BDAAB9C ,0x2086 ,32.0,3.0,48302566 67642417 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0x752E24F ,0x9BDAAB9C ,0x2086 ,32.0,3.0,48302566 67642417 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,10.1.60.203,64941,154.241.88.201,443,TCP,63,0x0 ,52,***A***F ,0x752E274 ,0x9BDAAB9C ,0x2086 ,32.0,3.0,48302566 67642417 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236238,154.241.88.201,443,10.1.60.203,64941,TCP,64,0x0 ,52,***A**** ,0x9BDAAB9C ,0x752E275 ,0x8D ,32.0,3.0,67642421 48302566 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236596,10.1.60.203,55652,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,48661984 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573236599,10.1.60.203,55652,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,48664984 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573236602,10.1.60.203,55652,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,48668184 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573236606,10.1.60.203,55652,154.241.88.201,443,TCP,63,0x0 ,48,******S* ,0x6CA8B074 ,0x0 ,0xFFFF ,28.0,3.0,0,1460,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573236904,10.1.60.203,51742,7.204.241.161,25,TCP,63,0x0 ,40,*****R** ,0x61A885C3 ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237069,7.204.241.161,993,31.154.241.1,1309,TCP,63,0x0 ,77,***AP*** ,0x7BF6A41A ,0xA4471B1E ,0xFFFF ,20.0,0.0,0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237129,3.75.190.181,50523,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0x6635AD9B ,0xB910AC61 ,0x2086 ,32.0,3.0,76223 67947594 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x2467C5D3 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,49201055 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,60,***A**S* ,0xBD5FD78A ,0x2467C5D4 ,0x16A0 ,40.0,5.0,0,1460,6,67952272 49201055 
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x2467C5D4 ,0xBD5FD78B ,0x2086 ,32.0,3.0,49201058 67952272 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,188,***AP*** ,0x2467C5D4 ,0xBD5FD78B ,0x2086 ,32.0,3.0,49201060 67952272 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,52,***A**** ,0xBD5FD78B ,0x2467C65C ,0x6C ,32.0,3.0,67952277 49201060 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,149,***AP*** ,0xBD5FDD33 ,0x2467C65C ,0x6C ,32.0,3.0,67952286 49201060 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x2467C65C ,0xBD5FDD94 ,0x2052 ,32.0,3.0,49201075 67952286 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,250,***AP*** ,0x2467C65C ,0xBD5FDD94 ,0x2086 ,32.0,3.0,49201083 67952286 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,111,***AP*** ,0xBD5FDD94 ,0x2467C722 ,0x7C ,32.0,3.0,67952313 49201083 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,238,***AP*** ,0x2467C722 ,0xBD5FDDCF ,0x2086 ,32.0,3.0,49201099 67952313 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,1373,***AP*** ,0xBD5FDDCF ,0x2467C7DC ,0x8D ,32.0,3.0,67952319 49201099 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,89,***AP*** ,0xBD5FE2F8 ,0x2467C7DC ,0x8D ,32.0,3.0,67952320 49201099 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,52,***A***F ,0xBD5FE31D ,0x2467C7DC ,0x8D ,32.0,3.0,67952320 49201099 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x2467C7DC ,0xBD5FE31D ,0x2081 ,32.0,3.0,49201108 67952319 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x2467C7DC ,0xBD5FE31E ,0x2086 ,32.0,3.0,49201108 67952320 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0x2467C7DC ,0xBD5FE31E ,0x2086 ,32.0,3.0,49201108 67952320 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,10.1.60.203,58077,154.241.88.201,443,TCP,63,0x0 ,52,***A***F ,0x2467C801 ,0xBD5FE31E ,0x2086 ,32.0,3.0,49201108 67952320 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237134,154.241.88.201,443,10.1.60.203,58077,TCP,64,0x0 ,52,***A**** ,0xBD5FE31E ,0x2467C802 ,0x8D ,32.0,3.0,67952324 49201108 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237188,154.241.88.201,80,3.75.190.181,49920,TCP,63,0x0 ,455,***AP*** ,0x16E25BA2 ,0xD923AC15 ,0x5B ,32.0,3.0,68006559 135137 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237188,3.75.190.181,55795,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0xC8625937 ,0x16E715E9 ,0x2086 ,32.0,3.0,135224 68006638 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237248,154.241.88.201,80,3.75.190.181,58667,TCP,63,0x0 ,455,***AP*** ,0x4FD757FD ,0x7800AD08 ,0x5B ,32.0,3.0,68066918 195356 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237307,3.75.190.181,57017,180.242.137.181,5222,TCP,63,0x0 ,52,***A**** ,0xC4A074AE ,0xB231536A ,0x2086 ,32.0,3.0,255099 1612998711 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237307,154.241.88.201,80,3.75.190.181,49207,TCP,63,0x0 ,455,***AP*** ,0x8806FFA0 ,0xA50140 ,0x5B ,32.0,3.0,68126619 255103 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237366,7.204.241.161,57669,10.1.10.10,25,TCP,64,0x0 ,40,*****R** ,0x6DA5A660 ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237367,154.241.88.201,80,3.75.190.181,51429,TCP,63,0x0 ,455,***AP*** ,0xC025FACE ,0x43859B17 ,0x5B ,32.0,3.0,68186591 315027 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237373,10.1.10.10,25,7.204.241.161,57669,TCP,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,11076919 53700 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237382,10.1.10.10,25,7.204.241.161,57669,TCP,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,11077007 53700 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237390,10.1.10.10,25,7.204.241.161,57669,TCP,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,11077095 53700 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237399,10.1.10.10,25,7.204.241.161,57669,TCP,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,11077184 53700 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237416,10.1.10.10,25,7.204.241.161,57669,TCP,125,0x0 ,116,***AP**F ,0xA0EF6779 ,0x6DA5A661 ,0xFFFF ,32.0,3.0,11077360 53700 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237428,3.75.190.181,51875,154.241.88.201,443,TCP,63,0x0 ,89,***AP*** ,0x2A34B839 ,0xF9761AE1 ,0x2086 ,32.0,3.0,376787 68248395 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237487,3.75.190.181,59050,180.242.137.181,5222,TCP,63,0x0 ,69,***AP*** ,0x836C9A8F ,0x45419415 ,0x2086 ,32.0,3.0,435854 3180832963 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237721,154.241.88.201,80,3.75.190.181,56000,TCP,63,0x0 ,455,***AP*** ,0xC9E48F9 ,0xAB076FB7 ,0x5B ,32.0,3.0,68542621 670775 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237723,154.241.88.201,443,31.154.241.11,1604,TCP,63,0x0 ,63,***AP*** ,0xEA8791D ,0x70687D0D ,0x1920 ,20.0,0.0,0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237726,154.241.88.201,443,31.154.241.11,1606,TCP,63,0x0 ,63,***AP*** ,0x10B2D237 ,0x97ACE1D ,0x16D0 ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237796,154.241.88.201,80,3.75.190.181,55945,TCP,63,0x0 ,455,***AP*** ,0x52A1C109 ,0x4714E081 ,0x5B ,32.0,3.0,68617598 745693 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237860,154.241.88.201,80,3.75.190.181,52329,TCP,63,0x0 ,455,***AP*** ,0x8EE7B539 ,0x2725D81D ,0x5B ,32.0,3.0,68682637 810681 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237860,7.204.241.161,25,3.75.190.181,58744,TCP,63,0x0 ,67,***AP*** ,0x51ABF212 ,0xC47F48C2 ,0x2086 ,32.0,3.0,2845347383 810711 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237987,7.204.241.161,993,222.100.5.233,3312,TCP,63,0x0 ,77,***AP*** ,0x3DC23746 ,0x9A55E039 ,0xFFFF ,20.0,0.0,0,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573237988,7.204.241.161,51135,10.1.10.10,25,TCP,64,0x0 ,40,*****R** ,0x2854EF44 ,0x0 ,0x0 ,20.0,0.0,0,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237991,10.1.10.10,25,7.204.241.161,51135,TCP,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083134 116170 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573237995,10.1.10.10,25,7.204.241.161,51135,TCP,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083178 116170 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573238000,10.1.10.10,25,7.204.241.161,51135,TCP,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083222 116170 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573238004,10.1.10.10,25,7.204.241.161,51135,TCP,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083266 116170 ,0,0,0
 Data sent on stream not accepting data  ,0,3,1573238013,10.1.10.10,25,7.204.241.161,51135,TCP,125,0x0 ,116,***AP**F ,0x3D132B1B ,0x2854EF45 ,0xFEB1 ,32.0,3.0,11083354 116170 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,60,******S* ,0x8040D6E6 ,0x0 ,0xFFFF ,40.0,5.0,0,1460,3,50099209 0 
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,60,***A**S* ,0x2E18EF57 ,0x8040D6E7 ,0x16A0 ,40.0,5.0,0,1460,6,68852062 50099209 
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8040D6E7 ,0x2E18EF58 ,0x2086 ,32.0,3.0,50099211 68852062 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,188,***AP*** ,0x8040D6E7 ,0x2E18EF58 ,0x2086 ,32.0,3.0,50099214 68852062 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,52,***A**** ,0x2E18EF58 ,0x8040D76F ,0x6C ,32.0,3.0,68852066 50099214 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,149,***AP*** ,0x2E18F500 ,0x8040D76F ,0x6C ,32.0,3.0,68852068 50099214 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,52,***A**** ,0x8040D76F ,0x2E18F561 ,0x2052 ,32.0,3.0,50099226 68852068 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,250,***AP*** ,0x8040D76F ,0x2E18F561 ,0x2086 ,32.0,3.0,50099235 68852068 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,111,***AP*** ,0x2E18F561 ,0x8040D835 ,0x7C ,32.0,3.0,68852098 50099235 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,10.1.60.203,51733,154.241.88.201,443,TCP,63,0x0 ,238,***AP*** ,0x8040D835 ,0x2E18F59C ,0x2086 ,32.0,3.0,50099250 68852098 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,1373,***AP*** ,0x2E18F59C ,0x8040D8EF ,0x8D ,32.0,3.0,68852104 50099250 ,0,0,0
 TCP Timestamp is outside of PAWS window  ,0,3,1573238029,154.241.88.201,443,10.1.60.203,51733,TCP,64,0x0 ,89,***AP*** ,0x2E18FAC5 ,0x8040D8EF ,0x8D ,32.0,3.0,68852104 50099250 ,0,0,0
